"pl_name";"hostname";"sy_mnum";"cb_flag";"disc_year";"pl_orbsmax";"pl_rade";"st_teff";"st_rad";"sy_dist"
"K2-29 b";"K2-29";0;0;2016;0.04217;13.339;5358;0.86;178.475
"K2-290 b";"K2-290";0;0;2019;0.0923;3.06;6302;1.51;272.909
"K2-290 c";"K2-290";0;0;2019;0.305;11.276;6302;1.51;272.909
"K2-291 b";"K2-291";0;0;2019;0.03261;1.589;5520;0.9;90.0562
"K2-292 b";"K2-292";0;0;2019;0.13;2.63;5725;1.09;114.293
"K2-295 b";"K2-295";0;0;2018;0.0451;10.054;4444;0.7;232.801
"K2-3 b";"K2-3";0;0;2015;0.0747;2.078;3951;0.55;44.0727
"K2-3 c";"K2-3";0;0;2015;0.1357;1.582;3951;0.55;44.0727
"K2-3 d";"K2-3";0;0;2015;0.2014;1.458;3951;0.55;44.0727
"K2-30 b";"K2-30";0;0;2016;0.04839;11.646;5581;0.84;333.042
"K2-31 b";"K2-31";0;0;2016;0.022;11.882;5280;0.78;110.527
"K2-312 c";"HD 80653";0;0;2023;1.961;12.8;5959;1.22;109.86
"K2-316 b";"K2-316";0;0;2020;0.0147;1.33;3436;0.38;112.486
"K2-316 c";"K2-316";0;0;2020;0.0582;1.83;3436;0.38;112.486
"K2-317 b";"K2-317";0;0;2020;0.0542;2.93;3387;0.38;176.291
"K2-318 b";"K2-318";0;0;2020;0.0911;1.66;3851;0.55;147.866
"K2-319 b";"K2-319";0;0;2020;0.1516;2.79;5440;0.9;209.071
"K2-32 b";"K2-32";0;0;2016;0.0795;5.299;5271;0.86;157.682
"K2-32 c";"K2-32";0;0;2016;0.13843;3.134;5271;0.86;157.682
"K2-32 d";"K2-32";0;0;2016;0.18422;3.484;5271;0.86;157.682
"K2-32 e";"K2-32";0;0;2019;0.04899;1.212;5271;0.86;157.682
"K2-320 b";"K2-320";0;0;2020;0.0142;2.62;3157;0.3;108.74
"K2-321 b";"K2-321";0;0;2020;0.02839;2.051;3855;0.58;77.6888
"K2-322 b";"K2-322";0;0;2020;0.0594;1.92;4141;0.6;123.415
"K2-323 b";"K2-323";0;0;2020;0.1275;2.1;3710;0.55;118.318
"K2-324 b";"K2-324";0;0;2020;0.0331;2.43;3752;0.51;136.667
"K2-325 b";"K2-325";0;0;2020;0.0419;2.2;3287;0.3;111.638
"K2-326 b";"K2-326";0;0;2020;0.0198;2.28;3924;0.69;282.308
"K2-329 b";"K2-329";0;0;2020;0.1016;8.676;5282;0.89;233.237
"K2-33 b";"K2-33";0;0;2016;0.0409;5.04;3540;1.05;139.268
"K2-34 b";"K2-34";0;0;2016;0.0442;13.75;6168;1.42;348.646
"K2-35 b";"K2-35";0;0;2016;0.031;1.32;4403;0.62;252.596
"K2-35 c";"K2-35";0;0;2016;0.055;1.93;4403;0.62;252.596
"K2-355 b";"K2-355";0;0;2021;0.0632;2.25;5790;0.92;500.497
"K2-356 b";"K2-356";0;0;2021;0.1599;2.29;5568;0.86;355.54
"K2-357 b";"K2-357";0;0;2021;0.145;3.72;5794;1.0;517.687
"K2-358 b";"K2-358";0;0;2021;0.0863;2.68;5650;0.91;480.307
"K2-36 b";"K2-36";0;0;2016;0.02288;1.43;4916;0.72;109.749
"K2-36 c";"K2-36";0;0;2016;0.05528;3.2;4916;0.72;109.749
"K2-360 c";"EPIC 201595106";0;0;2024;0.0883;4.02;5679;0.98;232.1
"K2-37 b";"K2-37";0;0;2016;0.0511;1.61;5413;0.85;179.943
"K2-37 c";"K2-37";0;0;2016;0.0654;2.75;5413;0.85;179.943
"K2-37 d";"K2-37";0;0;2016;0.1103;2.73;5413;0.85;179.943
"K2-38 b";"K2-38";0;0;2016;0.0503;1.655;5705;1.14;192.69
"K2-38 c";"K2-38";0;0;2016;0.0959;2.49;5705;1.14;192.69
"K2-39 b";"K2-39";0;0;2016;0.05708;6.277;4881;2.97;307.47
"K2-4 b";"K2-4";0;0;2015;0.078;2.1;4015;0.57;231.828
"K2-411 b";"K2-411";0;0;2022;0.0511;0.99;5711;1.38;298.219
"K2-412 b";"K2-412";0;0;2022;0.0586;2.116;5590;0.98;654.085
"K2-413 b";"K2-413";0;0;2022;0.0117;0.76;4116;0.7;285.162
"K2-413 c";"K2-413";0;0;2022;0.0426;1.233;4116;0.7;285.162
"K2-414 b";"K2-414";0;0;2022;0.0487;1.219;4343;0.73;260.036
"K2-414 c";"K2-414";0;0;2022;0.0552;1.929;4343;0.73;260.036
"K2-415 b";"K2-415";0;0;2023;0.027;1.015;3173;0.2;21.8182
"K2-416 b";"K2-416";0;0;2023;0.088;2.66;3746;0.55;120.311
"K2-417 b";"K2-417";0;0;2023;0.063;3.31;3861;0.58;94.0424
"K2-419 A b";"K2-419 A";0;0;2024;0.1208;10.55;3711;0.54;268.685
"K2-42 b";"K2-42";0;0;2016;0.0617;2.15;4613;0.64;396.913
